ID_SAMPLE,site_name,elevation,basin_size,site_type,entity_type,New_lat,New_lon
19896,,,0.119,lake,lake surface sample,57.75181447,12.32539787
19898,,,0.414,lake,lake surface sample,57.77012654,26.25865311
19899,,,0.239,lake,lake surface sample,62.61523091,30.76238163
19912,,,407,,,,
19916,,,8.2,,,,
19923,,,0.265,lake,lake surface sample,63.9523559,29.77385651
19936,,,0.03,"terrestrial, bog/fen/swamp",,,
19937,,,0.389,lake,,,
19942,,,0.206,lake,lake surface sample,63.17280738,25.48287263
19945,,,0.12,lake,lake surface sample,60.02501032,23.14953127
19946,,,25.001,,,,
19964,,,0.064,"terrestrial, bog/fen/swamp",,,
19989,,,0.002,lake,,42.98032147,-4.150912804
19991,,,0.447,lake,,,
20012,,,not applicable,,,,
20013,,,not applicable,,,,
20014,,,not applicable,,,,
20024,,,0.051,"terrestrial, bog/fen/swamp",,,
20029,,,not applicable,,,,
20057,,,0.019,lake,,,
20059,,,0.02,lake,,,
20061,,,0.07,lake,,,
20062,,,0.03,,,,
20063,,,0.439,lake,,,
20070,,,0.031,,,,
20071,,,0.031,,,,
20072,,,0.031,,,,
20073,,,0.031,,,,
20074,,,not applicable,,,,
20075,,,not applicable,,,,
20078,,,0.238,lake,,43.041685,-6.13878
20080,,,0.031,,,,
20081,,,0.031,,,,
20082,,,0.031,,,,
20083,,,0.016,lake,,,
20084,,,3.799,lake,,,
20085,,,0.584,lake,,,
20094,,,1.8,,,,
20095,,,0.013,lake,,44.1722127,10.8176281
20097,,,0.006,lake,,,
20106,,,1,,,,
20109,,,0.045,,,,
20111,,,0.069,lake,,,
20114,,,0.75,lake,,,
20118,,,0.008,,,,
20119,,,0.005,lake,,41.76248963,-8.044769813
20134,,,0.626,lake,,,
20135,,,0.671,lake,,,
20146,,,0.2,,,,
20147,,,0.321,lake,,,
20148,,,0.2,,,,
20149,,,0.2,,,,
20150,,,0.1,,,,
20151,,,0.152,lake,,,
20152,,,0.2,,,,
20155,Laguna de Comisario,,0.2,,,,
20156,,,1,,,,
20158,Laguna De Alcahozo,,0.5,,,,
20160,,,0.048,lake,,,
20161,,,0.003,lake,,38.38898717,-2.509570921
20164,,,0.0005,lake,,43.33440511,-6.892905115
20167,,,2.5,,,,
20169,,,2.403,lake,,,
20170,,,0.5,,,,
20173,,,0.001,lake,,,
20176,,,0.176,lake,,,
20179,,,0.016,lake,,,
20180,,,0.1,,,,
20181,,,0.3,,,,
20182,,,12.2,,,,
20183,,,0.084,lake,,,
20185,,,0.8,,,,
20188,,,0.02,lake,,,
20190,,,0.259,lake,,,
20194,,,0.086,lake,,,
20195,,,0.086,lake,,,
20200,,,0.492,lake,,,
20201,,,0.234,lake,,,
20205,,,0.2,lake,,,
20207,,,0.5,,,,
20208,,,0.9,,,,
20209,,,0.116,lake,,,
20213,,,1.5,,,,
20214,,,0.2,,,,
20215,,,0.517,lake,,,
20220,,,0.228,lake,,,
20221,,,0.1,,,,
20226,,,0.9,,,,
20227,,,1.625,lake,,,
20230,,,5.75,,,,
20231,,,2,lake,,,
20232,Laguna de Tarage,,0.2,,,,
20233,,,0.2,,,,
20234,,,0.2,,,,
20235,,,0.5,,,,
20236,Laguna Salada de Tiscar,,0.2,,,,
20237,Laguna de los Tollos,,0.7,,,,
20239,,,0.133,lake,,,
20241,,,0.55,,,,
20242,,,0.66,,,,
20244,,,0.6,,,,
20246,,,0.234,lake,lake surface sample,61.4027043,23.96791905
20247,,,0.2,lake,lake surface sample,62.71711153,24.62275265
20248,,,0.006,,,,
20249,,,1.661,lake,lake surface sample,,
20250,,,0.199,lake,lake surface sample,,
20251,,,small (0.01-1 km2),lake,lake surface sample,,
20252,,,small (0.01-1 km2),lake,lake surface sample,,
20253,,,small (0.01-1 km2),lake,lake surface sample,,
20254,,,0.551,lake,lake surface sample,,
20255,,,small (0.01-1 km2),lake,lake surface sample,,
20256,,,small (0.01-1 km2),lake,lake surface sample,,
20257,,,small (0.01-1 km2),lake,lake surface sample,,
20258,,,2.177,lake,lake surface sample,,
20259,,,small (0.01-1 km2),lake,lake surface sample,,
20260,,,small (0.01-1 km2),lake,lake surface sample,,
20261,,,6.207,lake,lake surface sample,,
20262,,,small (0.01-1 km2),lake,lake surface sample,,
20263,,,small (0.01-1 km2),lake,lake surface sample,,
20264,,,small (0.01-1 km2),lake,lake surface sample,,
20265,,,small (0.01-1 km2),lake,lake surface sample,,
20266,,,small (0.01-1 km2),lake,lake surface sample,,
20267,,,small (0.01-1 km2),lake,lake surface sample,,
20268,,,small (0.01-1 km2),lake,lake surface sample,,
20269,,,small (0.01-1 km2),lake,lake surface sample,,
20270,,,small (0.01-1 km2),lake,lake surface sample,,
20271,,,small (0.01-1 km2),lake,lake surface sample,,
20272,,,small (0.01-1 km2),lake,lake surface sample,,
20285,,,0.2,,,,
20293,,,0.503,"lacustrine, drained lake",,,
20295,,,0.011,lake,,,
20299,,,49,,,,
20300,,,49,,,,
20301,,,49,,,,
20302,,,49,,,,
20303,,,49,,,,
20304,,,49,,,,
20305,,,49,,,,
20306,,,49,,,,
20307,,,49,,,,
20322,,,251,,,,
20323,,,251,,,,
20324,,,251,,,,
20325,,,251,,,,
20326,,,251,,,,
20327,,,251,,,,
20328,,,251,,,,
20329,,,251,,,,
20330,,,251,,,,
20331,,,251,,,,
20332,,,251,,,,
20333,,,251,,,,
20334,,,251,,,,
20335,,,251,,,,
20337,,,0.06,,,,
20363,,,0.26,,,,
20365,,,3755,,,,
20366,,,3755,,,,
20367,,,15.5,,,,
20383,,,90.999,lake,,,
20391,,,0.024,lake,,,
20392,,,0.024,lake,,,
20393,,,0.024,lake,,,
20394,,,0.024,lake,,,
20395,,,0.024,lake,,,
20396,,,0.024,lake,,,
20397,,,0.024,lake,,,
20398,,,0.024,lake,,,
20399,,,0.024,lake,,,
20400,,,0.024,lake,,,
20403,,,0.282,lake,surface sample,,
20404,,,0.251,lake,surface sample,64.18172185,30.30901316
20446,,,0.222,lake,surface sample,,
20448,,,0.419,lake,surface sample,,
20450,,,not applicable,,,,
20451,,,,"lacustrine, drained lake",,,
20455,,,0.131,lake,lake surface sample,64.8273105,29.50604216
20459,,,0.097,lake,,59.97137658,23.23947449
20466,,,not applicable,,,,
20467,,,not applicable,,,,
20468,,,not applicable,,,,
20505,,,not applicable,,,,
